iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,3.566344,40.901079,18.982537,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
2,4.977789,28.505866,15.730157,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
3,4.250055,35.543228,16.171470,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
4,4.371955,20.493853,13.309216,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
5,6.278274,27.484900,15.559117,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
6,4.431880,24.222074,16.832829,3.566344,L3 -> L1 -> L5 -> L2 -> L9 -> L10 -> L4 -> L6 -> L7 -> L8
7,4.372350,37.083674,17.670443,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
8,4.250055,29.599673,17.523374,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
9,6.278274,24.754102,14.374787,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
10,4.977789,30.502427,14.505024,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
11,4.371955,30.036660,16.865112,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
12,6.478624,28.053746,16.323539,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L8 -> L7
13,4.372350,26.844252,14.861085,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
14,4.371955,25.258577,15.295631,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
15,4.977789,22.403700,14.855261,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
16,4.977789,38.823359,15.980757,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
17,4.977789,35.520857,17.224142,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
18,6.794354,35.874841,18.183193,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L7 -> L6 -> L8
19,4.371955,40.098161,19.452717,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
20,5.399733,30.434374,17.870234,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
21,4.976528,28.700312,15.336410,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
22,4.976528,30.997447,16.988933,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
23,6.794354,33.316961,18.711145,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L7 -> L6 -> L8
24,4.372350,33.073544,14.366077,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
25,6.647507,39.583900,17.117936,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
26,4.250055,31.638727,17.038120,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
27,5.679173,22.440619,13.661749,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L8 -> L7
28,4.976528,63.728553,18.007859,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
29,4.372350,22.959912,13.809079,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
30,7.623145,30.768984,18.576807,3.566344,L8 -> L7 -> L4 -> L6 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
31,4.372350,30.259225,15.671677,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
32,6.278274,21.176878,14.365498,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
33,4.977789,31.283296,16.024666,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
34,4.250055,24.126191,16.034045,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
35,4.371955,28.717954,15.329658,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
36,6.317469,34.653981,17.807836,3.566344,L8 -> L6 -> L7 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
37,5.841897,27.849778,16.891796,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L5 -> L3
38,4.201287,28.312317,16.308986,3.566344,L8 -> L7 -> L6 -> L4 -> L10 -> L9 -> L2 -> L3 -> L1 -> L5
39,6.278274,43.015628,16.388665,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
40,5.399733,30.904577,16.078059,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
41,4.250055,42.416997,18.411740,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
42,6.647507,34.488685,17.937633,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L5 -> L3
43,5.841502,29.217469,15.081424,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
44,6.647112,28.281491,15.762080,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
45,4.977789,27.056429,15.603068,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
46,6.317469,36.419444,16.612151,3.566344,L8 -> L6 -> L7 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
47,4.977789,30.235624,17.440270,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
48,6.478624,26.909855,15.622692,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L8 -> L7
49,6.278274,29.426306,16.201515,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
50,8.704727,34.322451,17.349898,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
51,6.647112,31.596238,15.612417,3.566344,L7 -> L8 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
