run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,78.075310,5.6395,223.0300,33.1834,0.0000,9.4962,76.3128,76.3,20,0,482.42,D -> 1 -> 9 -> CS8 -> L19 -> L4 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> D
2,81.944783,5.7120,221.1400,33.4289,0.0000,10.5842,77.1553,77.2,20,0,117.92,D -> 1 -> CS3 -> L8 -> L5 -> L8 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> 9 -> CS8 -> L19 -> L4 -> L15 -> 14 -> L16 -> L18 -> L13 -> L12 -> CS1 -> L7 -> 11 -> L17 -> 2 -> D
3,80.118751,5.5412,217.8700,32.5405,0.0000,9.4962,76.9557,77.0,20,0,54.66,D -> 1 -> CS3 -> L8 -> L5 -> L8 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> 9 -> CS8 -> L19 -> CS5 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> D
4,78.543782,5.6589,224.2300,33.3572,0.0000,9.4962,76.1390,76.1,20,0,209.27,D -> 1 -> 9 -> CS8 -> CS5 -> L15 -> CS5 -> L19 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> D
5,78.372548,5.6625,223.1000,32.4027,0.0000,7.8132,75.4105,75.4,20,0,179.85,D -> 1 -> 9 -> CS8 -> L19 -> L4 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L2 -> L5 -> L20 -> 18 -> L1 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> CS6 -> 18 -> CS3 -> 1 -> D
6,75.855906,5.5833,219.8700,32.7654,0.0000,9.4962,76.7308,76.7,20,0,483.74,D -> 1 -> 9 -> CS8 -> L19 -> CS5 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> D
7,79.922726,5.6493,219.3100,32.3860,0.0000,8.9012,76.5152,76.5,20,0,292.29,D -> 1 -> CS3 -> L8 -> L2 -> L5 -> L20 -> 18 -> L1 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> CS6 -> 18 -> CS3 -> 1 -> 9 -> CS8 -> L19 -> L4 -> L15 -> 14 -> L16 -> L18 -> L13 -> L12 -> CS1 -> L7 -> 11 -> L17 -> 2 -> D
8,78.075310,5.6395,223.0300,33.1834,0.0000,9.4962,76.3128,76.3,20,0,557.09,D -> 1 -> 9 -> CS8 -> L19 -> L4 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> D
9,75.855906,5.5833,219.8700,32.7654,0.0000,9.4962,76.7308,76.7,20,0,190.79,D -> 1 -> 9 -> CS8 -> L19 -> CS5 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> D
10,77.323833,5.4554,215.9700,32.2967,0.0000,9.4962,77.1995,77.2,20,0,274.00,D -> 1 -> CS3 -> L8 -> L5 -> L2 -> L20 -> 18 -> CS6 -> 7 -> L9 -> 10 -> L6 -> L11 -> CS7 -> L3 -> 8 -> L10 -> 13 -> L14 -> 7 -> L1 -> 18 -> CS3 -> 1 -> 9 -> CS8 -> L19 -> CS5 -> L15 -> L4 -> L18 -> L16 -> L12 -> L13 -> CS1 -> L7 -> 11 -> L17 -> 2 -> D
