run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,361.846835,10.9655,376.6600,56.1052,0.0000,13.8890,57.7838,57.8,40,0,1522.33,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> CS15 -> L19 -> 29 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> CS12 -> 32 -> L12 -> CS10 -> L10 -> CS14 -> L2 -> L14 -> L31 -> 3 -> L29 -> L33 -> L29 -> 30 -> L6 -> L13 -> L9 -> L13 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
2,339.920399,10.4775,367.4400,57.9708,0.0000,20.3966,62.4258,62.4,40,0,1635.34,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> L16 -> 8 -> L37 -> CS7 -> L11 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L5 -> CS5 -> L30 -> L38 -> L7 -> CS1 -> 10 -> L36 -> 21 -> L18 -> 2 -> D
3,338.410656,10.7632,374.4000,57.7596,0.0000,17.6630,59.9034,59.9,40,0,2522.17,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> L12 -> CS10 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> 19 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
4,313.297591,10.0817,354.8400,56.6293,0.0000,20.3558,63.7265,63.7,40,0,2890.70,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L37 -> L21 -> CS7 -> L11 -> 1 -> D
5,356.251714,10.9881,374.3600,54.9552,0.0000,11.7096,56.7544,56.8,40,0,1580.91,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> 18 -> L38 -> L7 -> L30 -> CS5 -> L5 -> 31 -> L17 -> L16 -> L17 -> 31 -> 26 -> L39 -> CS15 -> L19 -> 29 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> CS12 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> 19 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
6,339.117495,10.6721,367.5100,54.8218,0.0000,13.6884,58.8666,58.9,40,0,2571.17,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
7,348.103275,10.7494,373.2800,56.8593,0.0000,15.8338,58.9745,59.0,40,0,1550.92,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> L13 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> 24 -> 25 -> CS13 -> L28 -> CS13 -> 25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L21 -> L37 -> CS7 -> L11 -> 1 -> D
8,333.679029,10.3198,364.3700,58.1245,0.0000,21.0732,62.9487,62.9,40,0,1494.85,D -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
9,339.615051,10.4793,361.5100,54.9036,0.0000,14.9396,60.0360,60.0,40,0,1234.31,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L9 -> L13 -> L6 -> 30 -> L14 -> L31 -> 3 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L5 -> CS5 -> L30 -> L38 -> L7 -> L38 -> 18 -> L15 -> L16 -> L17 -> L16 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> D
10,339.102869,10.6721,367.5100,54.7863,0.0000,13.6884,58.9021,58.9,40,0,1035.12,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
