run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,236.198543,7.8458,370.5500,61.9702,0.0000,22.6202,60.6500,60.7,40,0,1617.43,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> CS7 -> L11 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> L23 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> L30 -> CS5 -> L5 -> 31 -> L17 -> L16 -> L15 -> 18 -> 10 -> L36 -> 21 -> L18 -> 2 -> D
2,235.403127,7.8693,370.9500,60.4121,0.0000,16.6260,56.2139,56.2,40,0,1868.04,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L8 -> CS3 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L9 -> L13 -> L6 -> 30 -> L14 -> L31 -> 3 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L21 -> L37 -> CS7 -> L11 -> 1 -> D
3,237.604040,7.7559,366.1700,60.7231,0.0000,18.5742,57.8511,57.9,40,0,2644.75,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> 24 -> 25 -> CS13 -> L28 -> CS13 -> 25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L37 -> L21 -> CS7 -> L11 -> 1 -> D
4,244.460554,8.0557,378.2500,60.5941,0.0000,12.9778,52.3837,52.4,40,0,1488.35,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> L30 -> CS5 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L34 -> CS9 -> L3 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> 19 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
5,240.341035,8.0155,377.9400,61.3397,0.0000,21.1140,59.7743,59.8,40,0,2821.66,D -> 1 -> L11 -> CS7 -> L21 -> L37 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> L38 -> 10 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L20 -> L22 -> L32 -> 11 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> L35 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS6 -> 38 -> L1 -> 11 -> L32 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
6,249.682629,8.1063,380.5900,60.7464,0.0000,12.5936,51.8472,51.8,40,0,1784.24,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> CS7 -> L11 -> CS7 -> L37 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> CS15 -> L19 -> 29 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> CS12 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
7,237.506129,7.6909,363.5500,59.0215,0.0000,16.2282,57.2067,57.2,40,0,1162.31,D -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> L13 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
8,235.149836,7.9308,372.5700,59.3711,0.0000,12.2298,52.8587,52.9,40,0,1350.44,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L34 -> CS9 -> L3 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
9,237.333982,7.7854,366.9600,61.1908,0.0000,22.3584,61.1676,61.2,40,0,1272.84,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> CS7 -> L11 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L13 -> L9 -> L13 -> L6 -> 30 -> L14 -> L2 -> L14 -> L31 -> 3 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> 25 -> 35 -> L39 -> 26 -> CS5 -> L5 -> 31 -> L17 -> L16 -> L15 -> 18 -> L38 -> L7 -> L30 -> L38 -> 10 -> L36 -> 21 -> L18 -> 2 -> D
10,252.039092,7.9995,377.8100,61.8130,0.0000,17.4658,55.6528,55.7,40,0,1306.06,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> L23 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L13 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> 3 -> L2 -> L14 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L37 -> L21 -> CS7 -> L11 -> 1 -> D
