iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,476.970614,1225.441694,873.809112,476.970614,L20 -> L23 -> L22 -> L32 -> L27 -> L4 -> L8 -> L26 -> L11 -> L21 -> L24 -> L37 -> L15 -> L16 -> L17 -> L7 -> L30 -> L38 -> L36 -> L18 -> L5 -> L39 -> L19 -> L40 -> L28 -> L25 -> L3 -> L34 -> L6 -> L13 -> L9 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L35 -> L12 -> L1
2,398.137909,1383.658731,856.005082,398.137909,L21 -> L11 -> L37 -> L24 -> L16 -> L15 -> L17 -> L5 -> L30 -> L7 -> L38 -> L36 -> L18 -> L26 -> L8 -> L27 -> L4 -> L20 -> L22 -> L32 -> L23 -> L1 -> L3 -> L34 -> L25 -> L35 -> L40 -> L39 -> L19 -> L28 -> L12 -> L10 -> L33 -> L29 -> L31 -> L2 -> L14 -> L6 -> L13 -> L9
3,424.543631,4440.449577,1020.020947,398.137909,L21 -> L37 -> L24 -> L16 -> L17 -> L40 -> L19 -> L28 -> L39 -> L5 -> L7 -> L30 -> L38 -> L15 -> L36 -> L18 -> L26 -> L4 -> L8 -> L27 -> L22 -> L23 -> L32 -> L13 -> L9 -> L6 -> L14 -> L31 -> L2 -> L29 -> L33 -> L10 -> L12 -> L35 -> L25 -> L3 -> L34 -> L1 -> L20 -> L11
4,440.307005,9172.622038,1310.288329,398.137909,L20 -> L23 -> L22 -> L32 -> L27 -> L4 -> L8 -> L26 -> L36 -> L18 -> L11 -> L21 -> L37 -> L24 -> L15 -> L16 -> L17 -> L5 -> L30 -> L38 -> L7 -> L39 -> L28 -> L35 -> L40 -> L19 -> L12 -> L29 -> L14 -> L31 -> L2 -> L6 -> L9 -> L13 -> L33 -> L10 -> L25 -> L34 -> L3 -> L1
5,286.543204,1143.630304,781.573944,286.543204,L18 -> L36 -> L21 -> L24 -> L37 -> L15 -> L16 -> L17 -> L5 -> L30 -> L38 -> L7 -> L39 -> L19 -> L40 -> L28 -> L3 -> L34 -> L25 -> L35 -> L12 -> L10 -> L33 -> L29 -> L31 -> L14 -> L2 -> L6 -> L13 -> L9 -> L1 -> L32 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> L11
6,458.878188,1012.545038,708.431697,286.543204,L11 -> L21 -> L37 -> L24 -> L15 -> L16 -> L17 -> L5 -> L7 -> L38 -> L36 -> L18 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> L13 -> L9 -> L6 -> L29 -> L33 -> L31 -> L14 -> L2 -> L10 -> L12 -> L35 -> L40 -> L19 -> L39 -> L28 -> L25 -> L3 -> L34 -> L1 -> L26 -> L30
7,372.379664,946.214690,718.729419,286.543204,L11 -> L24 -> L21 -> L37 -> L15 -> L16 -> L17 -> L5 -> L30 -> L7 -> L38 -> L36 -> L18 -> L20 -> L32 -> L23 -> L27 -> L26 -> L8 -> L4 -> L34 -> L25 -> L35 -> L40 -> L19 -> L39 -> L28 -> L3 -> L10 -> L12 -> L33 -> L29 -> L31 -> L14 -> L2 -> L6 -> L13 -> L9 -> L1 -> L22
8,282.225813,2269.692111,967.193425,282.225813,L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> L1 -> L25 -> L3 -> L34 -> L6 -> L9 -> L13 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L12 -> L35 -> L40 -> L19 -> L28 -> L39 -> L5 -> L30 -> L7 -> L38 -> L15 -> L17 -> L16 -> L24 -> L37 -> L21 -> L11 -> L36 -> L18
9,489.675832,1286.217678,845.531314,282.225813,L18 -> L21 -> L24 -> L37 -> L11 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> L9 -> L13 -> L6 -> L14 -> L31 -> L2 -> L33 -> L29 -> L10 -> L12 -> L28 -> L3 -> L25 -> L35 -> L40 -> L19 -> L39 -> L17 -> L15 -> L16 -> L5 -> L30 -> L38 -> L7 -> L36 -> L34 -> L1
10,383.726576,2337.008548,814.394059,282.225813,L11 -> L21 -> L24 -> L37 -> L15 -> L16 -> L17 -> L5 -> L7 -> L30 -> L38 -> L10 -> L35 -> L40 -> L19 -> L39 -> L28 -> L3 -> L25 -> L34 -> L12 -> L33 -> L29 -> L31 -> L2 -> L14 -> L6 -> L9 -> L13 -> L1 -> L32 -> L20 -> L22 -> L23 -> L27 -> L8 -> L4 -> L26 -> L18 -> L36
11,355.274759,1139.906371,740.597499,282.225813,L11 -> L15 -> L38 -> L7 -> L30 -> L5 -> L17 -> L16 -> L24 -> L37 -> L21 -> L18 -> L36 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> L13 -> L9 -> L6 -> L14 -> L31 -> L2 -> L29 -> L33 -> L10 -> L12 -> L35 -> L40 -> L19 -> L39 -> L28 -> L3 -> L25 -> L34 -> L1
12,373.960211,1040.265158,733.591757,282.225813,L11 -> L21 -> L24 -> L37 -> L16 -> L17 -> L5 -> L30 -> L38 -> L7 -> L36 -> L18 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L32 -> L20 -> L1 -> L6 -> L9 -> L13 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L35 -> L40 -> L19 -> L39 -> L28 -> L3 -> L34 -> L25 -> L12 -> L15
13,454.814025,1013.886655,730.040518,282.225813,L11 -> L21 -> L37 -> L24 -> L15 -> L16 -> L17 -> L39 -> L5 -> L30 -> L38 -> L7 -> L18 -> L36 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> L3 -> L25 -> L12 -> L35 -> L40 -> L19 -> L28 -> L34 -> L31 -> L29 -> L33 -> L10 -> L2 -> L14 -> L6 -> L13 -> L9 -> L1 -> L26
14,391.255924,1090.869000,748.947319,282.225813,L21 -> L37 -> L24 -> L16 -> L15 -> L17 -> L5 -> L30 -> L7 -> L38 -> L36 -> L18 -> L11 -> L20 -> L27 -> L26 -> L8 -> L4 -> L23 -> L32 -> L22 -> L1 -> L34 -> L3 -> L25 -> L35 -> L40 -> L19 -> L39 -> L28 -> L12 -> L10 -> L33 -> L29 -> L14 -> L31 -> L2 -> L13 -> L6 -> L9
