run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,275.653278,9.2203,376.0900,57.1528,0.0000,16.2860,59.1332,59.1,40,0,1176.01,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> L38 -> 10 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L9 -> L13 -> L6 -> 30 -> L14 -> L2 -> 3 -> L31 -> 3 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS6 -> 38 -> 11 -> L32 -> 19 -> CS2 -> 27 -> 1 -> D
2,278.191566,8.8094,365.4300,58.5359,0.0000,20.7740,62.2381,62.2,40,0,1562.96,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> 25 -> CS13 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> D
3,281.312369,8.8694,366.7700,57.6776,0.0000,18.6694,60.9918,61.0,40,0,822.10,D -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L8 -> CS3 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
4,281.708114,8.8386,360.8900,55.1856,0.0000,14.9396,59.7540,59.8,40,0,2225.81,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L13 -> L9 -> L13 -> L6 -> 30 -> L14 -> L31 -> 3 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> 25 -> CS13 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> D
5,296.960796,9.4002,384.7300,58.7461,0.0000,16.2044,57.4583,57.5,40,0,1395.79,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L37 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L34 -> CS9 -> L3 -> CS9 -> L25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> CS17 -> 32 -> L12 -> CS10 -> L10 -> L12 -> CS10 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> 19 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
6,283.429582,8.9436,364.2300,54.9152,0.0000,13.5422,58.6270,58.6,40,0,2728.48,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> CS19 -> 9 -> 37 -> L9 -> L13 -> L6 -> 30 -> L14 -> L2 -> 3 -> L31 -> 3 -> L29 -> L33 -> 16 -> L10 -> L12 -> 32 -> CS17 -> L25 -> 24 -> L3 -> L34 -> 24 -> 25 -> CS13 -> L28 -> CS13 -> 25 -> CS17 -> L35 -> L40 -> 29 -> L19 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L24 -> L37 -> L21 -> CS7 -> L11 -> 1 -> D
7,277.801627,8.9952,365.7700,54.4013,0.0000,12.5936,58.1923,58.2,40,0,924.69,D -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> CS15 -> L19 -> 29 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS9 -> L25 -> CS17 -> L35 -> CS12 -> 32 -> L12 -> CS10 -> L10 -> 16 -> L33 -> L29 -> 3 -> L31 -> L14 -> L2 -> 30 -> L6 -> L13 -> L9 -> 37 -> 9 -> CS19 -> L1 -> 11 -> L32 -> L23 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
8,300.661993,9.4599,387.8700,58.6385,0.0000,15.1334,56.4949,56.5,40,0,1179.93,D -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> 1 -> L11 -> CS7 -> L21 -> L24 -> L37 -> 8 -> L15 -> L16 -> L17 -> 31 -> L5 -> CS5 -> L30 -> L38 -> L7 -> 4 -> 26 -> L39 -> CS15 -> L19 -> 29 -> L40 -> 29 -> L19 -> L39 -> L28 -> CS13 -> 25 -> 24 -> L3 -> L34 -> CS6 -> 14 -> L6 -> L13 -> L9 -> L13 -> L6 -> 30 -> L14 -> L31 -> 3 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> CS17 -> L25 -> 24 -> L34 -> CS6 -> 38 -> L1 -> 11 -> L32 -> 19 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> 27 -> 1 -> D
9,286.040739,8.9430,372.3000,59.9183,0.0000,21.6648,61.7465,61.7,40,0,1460.96,D -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L32 -> 19 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> L34 -> CS9 -> L25 -> 24 -> L3 -> L34 -> CS6 -> 14 -> L6 -> L13 -> L9 -> CS16 -> 39 -> L31 -> 3 -> L2 -> L14 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L30 -> L38 -> L7 -> 4 -> L5 -> 31 -> L17 -> L16 -> L15 -> 8 -> L37 -> L24 -> L21 -> CS7 -> L11 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
10,282.225813,8.8273,368.4600,59.4802,0.0000,22.0252,62.5450,62.5,40,0,1033.45,D -> 1 -> 27 -> CS2 -> L26 -> L8 -> L4 -> L27 -> L23 -> L22 -> L20 -> L32 -> 11 -> L1 -> 38 -> CS6 -> 33 -> CS9 -> L25 -> 24 -> L3 -> L34 -> CS6 -> 14 -> L6 -> L13 -> L9 -> L13 -> CS16 -> 39 -> L31 -> L14 -> L2 -> 30 -> L29 -> L33 -> 16 -> L10 -> L12 -> CS12 -> L35 -> L40 -> 29 -> L19 -> L39 -> L28 -> L39 -> 26 -> CS5 -> L5 -> CS5 -> L30 -> L38 -> L7 -> L38 -> 18 -> L15 -> L16 -> L17 -> L16 -> 8 -> L24 -> L37 -> L21 -> CS7 -> L11 -> 1 -> 2 -> L18 -> 21 -> L36 -> 21 -> L18 -> 2 -> D
