iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,-3.817767,0.964885,-2.535807,-3.817767,L1 -> L2 -> L5 -> L4 -> L3
2,-3.817767,-0.765577,-2.978345,-3.817767,L1 -> L2 -> L5 -> L4 -> L3
3,-4.070208,-1.029946,-2.720188,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
4,-3.817767,0.965445,-2.469370,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
5,-3.817767,0.964885,-2.663194,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
6,-3.817767,0.965982,-2.312123,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
7,-3.817767,-1.029946,-2.876311,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
8,-3.817767,0.965445,-2.167135,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
9,-3.817767,-1.030820,-2.695893,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
10,-4.070208,-1.029863,-2.929878,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
11,-3.817767,0.964885,-2.331860,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
12,-3.817767,0.965700,-2.194879,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
13,-3.817767,-1.283114,-3.064527,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
14,-3.531373,1.812004,-2.227185,-4.070208,L3 -> L2 -> L4 -> L1 -> L5
15,-3.817767,0.965982,-2.438990,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
16,-3.817767,0.965445,-2.366864,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
17,-3.817767,-1.029863,-2.760784,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
18,-3.531373,0.965445,-2.205770,-4.070208,L3 -> L2 -> L4 -> L1 -> L5
19,-3.817767,0.965445,-2.116653,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
20,-4.070208,0.965445,-2.729577,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
21,-3.531373,-1.015300,-2.607832,-4.070208,L3 -> L2 -> L4 -> L1 -> L5
22,-4.070208,-0.694007,-2.832233,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
23,-3.817767,0.965445,-2.535636,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
24,-3.817767,-1.029863,-2.405430,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
25,-3.531373,0.964885,-2.038726,-4.070208,L3 -> L2 -> L4 -> L1 -> L5
26,-3.817767,0.964885,-2.448744,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
27,-3.817767,-1.015300,-2.745978,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
28,-3.817767,0.965445,-2.319496,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
29,-3.817767,0.964885,-2.556166,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
30,-3.531057,-1.015300,-2.291152,-4.070208,L2 -> L3 -> L4 -> L1 -> L5
31,-3.817767,0.965445,-2.093526,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
32,-3.817767,0.965445,-2.324302,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
33,-3.817767,0.965700,-2.144434,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
34,-3.817767,0.965445,-2.049737,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
35,-3.817767,0.965445,-2.371408,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
36,-4.070208,0.965982,-2.432143,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
37,-3.817767,1.812004,-2.003703,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
38,-4.069236,-1.015715,-2.407291,-4.070208,L4 -> L1 -> L5 -> L2 -> L3
39,-3.817767,0.965445,-2.251861,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
40,-3.817767,-1.015300,-2.674364,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
41,-4.070208,0.965445,-2.528724,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
42,-3.817767,-0.121841,-2.452336,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
43,-3.817767,-1.029946,-2.403003,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
44,-3.817767,-1.015715,-2.590527,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
45,-4.070208,0.964885,-2.646575,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
46,-3.531373,0.965445,-1.964211,-4.070208,L3 -> L2 -> L4 -> L1 -> L5
47,-3.817767,0.965445,-1.915644,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
48,-4.070208,0.965445,-2.361067,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
49,-3.817767,0.965445,-2.376515,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
50,-3.817767,-1.030820,-2.802963,-4.070208,L1 -> L2 -> L5 -> L4 -> L3
51,-4.070208,0.965445,-2.752185,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
52,-4.070208,1.724000,-1.799822,-4.070208,L3 -> L4 -> L1 -> L5 -> L2
53,-4.069236,0.965982,-2.735485,-4.070208,L4 -> L1 -> L5 -> L2 -> L3
