run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.57,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
2,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.60,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
3,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.58,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
4,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.60,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
5,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.62,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
6,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.74,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
7,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.54,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
8,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.60,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
9,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.55,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
10,-4.070208,1.3054,56.5200,8.0785,0.0000,1.9550,93.8765,93.9,5,0,0.52,D -> 2 -> L3 -> L4 -> 4 -> L1 -> CS1 -> L5 -> CS2 -> L2 -> L3 -> 2 -> D
