iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,0.245803,9.890458,6.884565,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
2,2.264149,10.390987,7.168189,0.245803,L1 -> L2 -> L4 -> L3 -> L5 -> L6
3,0.245803,9.914592,5.663979,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
4,0.245803,15.393047,6.803792,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
5,0.245803,10.390987,5.631364,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
6,0.245803,9.555407,5.850541,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
7,0.245803,11.369109,6.433439,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
8,0.245803,12.607398,5.708038,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
9,0.245803,11.369109,6.684817,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
10,0.245803,14.768192,6.183269,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
11,0.245803,10.832594,6.987014,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
12,4.524523,9.554817,6.571566,0.245803,L6 -> L5 -> L1 -> L2 -> L3 -> L4
13,0.245803,10.832594,6.437397,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
14,0.245803,15.185355,7.463009,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
15,0.245803,25.375950,7.662653,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
16,0.245803,15.396085,6.460147,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
17,0.245803,9.890458,5.832785,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
18,0.245803,15.069907,6.313908,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
19,0.245803,14.883570,6.800473,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
20,0.245803,13.589243,5.404479,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
21,0.245803,9.914592,6.696144,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
22,0.245803,12.607398,6.388234,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
23,1.112839,10.121357,6.485078,0.245803,L6 -> L1 -> L2 -> L3 -> L4 -> L5
24,0.245803,11.942095,6.421406,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
25,0.245803,12.708146,6.375921,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
26,0.245803,18.059224,6.504634,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
27,2.455624,9.554817,6.006375,0.245803,L3 -> L1 -> L2 -> L4 -> L5 -> L6
28,2.543604,11.369109,6.586487,0.245803,L1 -> L3 -> L2 -> L4 -> L5 -> L6
29,0.245803,10.390987,5.626140,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
30,0.245803,13.540637,7.037364,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
31,0.245803,9.555407,6.297963,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
32,4.524523,11.369109,5.949101,0.245803,L6 -> L5 -> L1 -> L2 -> L3 -> L4
33,0.245803,19.133614,7.122267,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
34,0.245803,16.963367,6.838717,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
35,0.245803,9.555015,4.694553,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
36,0.245803,13.540637,6.977196,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
37,4.524523,9.555015,6.280857,0.245803,L6 -> L5 -> L1 -> L2 -> L3 -> L4
38,0.245803,9.555605,6.254772,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
39,0.245803,15.185554,6.831044,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
40,0.245803,11.942095,6.506784,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
41,0.245803,11.685390,5.498577,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
42,0.245803,21.152300,7.191458,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
43,0.245803,16.607917,6.328750,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
44,0.245803,9.412258,5.644435,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
45,0.245803,9.480797,5.785160,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
46,2.264149,11.754579,6.765218,0.245803,L1 -> L2 -> L4 -> L3 -> L5 -> L6
47,0.245803,10.390987,5.664465,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
48,2.264149,11.609376,6.695051,0.245803,L1 -> L2 -> L4 -> L3 -> L5 -> L6
49,0.245803,17.458807,5.735790,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
50,0.245803,11.369109,6.162151,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
51,0.245803,19.133614,7.861228,0.245803,L1 -> L2 -> L3 -> L4 -> L5 -> L6
