run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.82,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
2,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.80,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
3,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.83,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
4,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.83,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
5,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.80,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
6,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.76,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
7,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.77,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
8,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.75,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
9,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.78,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
10,0.245803,1.8711,73.7300,11.0479,0.0000,3.7434,92.6955,92.7,6,0,0.72,D -> 2 -> CS2 -> CS3 -> 6 -> L1 -> L2 -> L3 -> L4 -> L5 -> L6 -> CS1 -> 1 -> D
