iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,4.373813,15.420261,8.629871,4.373813,L5 -> L2 -> L1 -> L3 -> L4
2,2.285880,15.420261,7.168585,2.285880,L1 -> L2 -> L3 -> L4 -> L5
3,2.285880,15.420261,8.098000,2.285880,L1 -> L2 -> L3 -> L4 -> L5
4,2.285880,17.368894,7.841148,2.285880,L1 -> L2 -> L3 -> L4 -> L5
5,1.981908,17.368894,8.136205,1.981908,L2 -> L1 -> L3 -> L4 -> L5
6,1.981908,13.768225,7.801064,1.981908,L2 -> L1 -> L3 -> L4 -> L5
7,2.285880,15.019763,7.622210,1.981908,L1 -> L2 -> L3 -> L4 -> L5
8,1.981908,15.994339,8.416099,1.981908,L2 -> L1 -> L3 -> L4 -> L5
9,1.981908,17.358462,8.187160,1.981908,L2 -> L1 -> L3 -> L4 -> L5
10,2.285880,15.019763,8.635021,1.981908,L1 -> L2 -> L3 -> L4 -> L5
11,2.285880,17.368894,8.438907,1.981908,L1 -> L2 -> L3 -> L4 -> L5
12,2.285880,15.019763,8.018288,1.981908,L1 -> L2 -> L3 -> L4 -> L5
13,1.981908,17.358462,7.970524,1.981908,L2 -> L1 -> L3 -> L4 -> L5
14,1.981908,17.707072,8.677598,1.981908,L2 -> L1 -> L3 -> L4 -> L5
15,2.285880,10.177712,7.616932,1.981908,L1 -> L2 -> L3 -> L4 -> L5
16,1.981908,10.333958,6.403991,1.981908,L2 -> L1 -> L3 -> L4 -> L5
17,2.285880,10.177712,6.517706,1.981908,L1 -> L2 -> L3 -> L4 -> L5
18,2.285880,15.019763,7.329664,1.981908,L1 -> L2 -> L3 -> L4 -> L5
19,4.373813,18.917750,8.871652,1.981908,L5 -> L2 -> L1 -> L3 -> L4
20,1.981908,16.446342,7.180543,1.981908,L2 -> L1 -> L3 -> L4 -> L5
21,4.373813,17.157731,8.273002,1.981908,L5 -> L2 -> L1 -> L3 -> L4
22,4.373813,17.368894,8.794100,1.981908,L5 -> L2 -> L1 -> L3 -> L4
23,1.981908,12.856569,6.514432,1.981908,L2 -> L1 -> L3 -> L4 -> L5
24,1.981908,9.630770,7.083364,1.981908,L2 -> L1 -> L3 -> L4 -> L5
25,1.981908,15.420261,8.011894,1.981908,L2 -> L1 -> L3 -> L4 -> L5
26,1.981908,12.804262,6.754506,1.981908,L2 -> L1 -> L3 -> L4 -> L5
27,1.981908,15.659603,8.308968,1.981908,L2 -> L1 -> L3 -> L4 -> L5
28,1.981908,17.368894,8.423166,1.981908,L2 -> L1 -> L3 -> L4 -> L5
29,1.981908,15.019763,6.982274,1.981908,L2 -> L1 -> L3 -> L4 -> L5
30,1.981908,15.420261,7.773083,1.981908,L2 -> L1 -> L3 -> L4 -> L5
31,2.285880,10.333958,6.994996,1.981908,L1 -> L2 -> L3 -> L4 -> L5
32,4.373813,13.757060,7.683329,1.981908,L5 -> L2 -> L1 -> L3 -> L4
33,1.981908,13.768225,7.797790,1.981908,L2 -> L1 -> L3 -> L4 -> L5
34,2.285880,17.358462,9.200640,1.981908,L1 -> L2 -> L3 -> L4 -> L5
35,1.981908,15.420261,7.118313,1.981908,L2 -> L1 -> L3 -> L4 -> L5
36,2.285880,17.368894,8.574449,1.981908,L1 -> L2 -> L3 -> L4 -> L5
37,1.981908,17.368894,7.255178,1.981908,L2 -> L1 -> L3 -> L4 -> L5
38,1.981908,15.420261,6.708884,1.981908,L2 -> L1 -> L3 -> L4 -> L5
39,4.373813,17.157731,7.952249,1.981908,L5 -> L2 -> L1 -> L3 -> L4
40,1.981908,9.630770,6.192537,1.981908,L2 -> L1 -> L3 -> L4 -> L5
41,1.981908,17.358462,9.001501,1.981908,L2 -> L1 -> L3 -> L4 -> L5
42,1.981908,17.368894,8.497055,1.981908,L2 -> L1 -> L3 -> L4 -> L5
43,1.981908,12.325811,6.697111,1.981908,L2 -> L1 -> L3 -> L4 -> L5
44,2.285880,12.814905,8.188033,1.981908,L1 -> L2 -> L3 -> L4 -> L5
45,1.981908,19.252486,8.049936,1.981908,L2 -> L1 -> L3 -> L4 -> L5
46,1.981908,18.179504,7.127588,1.981908,L2 -> L1 -> L3 -> L4 -> L5
47,4.373813,15.019763,7.790111,1.981908,L5 -> L2 -> L1 -> L3 -> L4
48,1.981908,9.730196,5.956347,1.981908,L2 -> L1 -> L3 -> L4 -> L5
49,1.981908,15.420261,8.003090,1.981908,L2 -> L1 -> L3 -> L4 -> L5
50,1.981908,12.804262,6.067093,1.981908,L2 -> L1 -> L3 -> L4 -> L5
51,1.981908,15.994339,8.085772,1.981908,L2 -> L1 -> L3 -> L4 -> L5
52,1.981908,10.333958,6.400166,1.981908,L2 -> L1 -> L3 -> L4 -> L5
53,2.285880,17.157731,7.471275,1.981908,L1 -> L2 -> L3 -> L4 -> L5
54,2.285880,15.420261,8.417172,1.981908,L1 -> L2 -> L3 -> L4 -> L5
55,1.981908,18.237850,7.408506,1.981908,L2 -> L1 -> L3 -> L4 -> L5
