run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.23,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
2,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.24,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
3,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.25,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
4,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.25,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
5,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.24,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
6,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.24,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
7,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.27,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
8,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.22,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
9,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.24,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
10,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.23,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
1,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.23,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
2,1.981908,2.2002,99.0000,17.4985,0.0000,2.3800,84.8815,84.9,5,0,0.31,D -> 1 -> 3 -> L2 -> 3 -> L1 -> Ne1 -> 4 -> L3 -> 4 -> Ns2 -> Ne2 -> 5 -> L4 -> 5 -> 2 -> CS1 -> L5 -> D
